Title,Task_Force,Year_Implemented,Country,Proposal_Summary
"Regional School on Astrophysical Data Reduction",1,2014,"Nepal        ","Tribhuvan University has been offered opportunity to carry out research work in A&A since 2006 at the Central Department of Physics (CDP), Kathmandu, Nepal. Till date 84 masters’ thesis have been completed in the various areas of Astrophysics. About two dozen masters’ theses are published in the Journals MNRAS, A&A, and Ap&SS. CDP has offered Ph.D. program in Astrophysics since 2010. At present, five students are involved in Ph.D. and 18 are doing work for their master’s dissertation. The research areas are mainly galaxy evolution, ISM and dark energy. Additional Information is available in http://astronepal.webs.com.
After completing masters’ thesis, about 50% students go abroad (mostly USA) for the further study and research in A&A. The remaining students go to various colleges in Nepal to teach physics and astronomy at undergraduate level. They use to forget what they learned during masters’ thesis because of their involvement in teaching. The aim of this school to group them and finally prepare them for Ph.D. project. In addition to these students, there are large number (more than 200) of masters’ students majoring Astrophysics every year. Last year we had organized 4 days workshop NWAA2013 (For detail: http://www.astro4dev.org/category/tf1/nepal-workshop/). This workshop left a strong impact not only on participants, but also to the authorities of University as well as Government of Nepal. Because of the effective outcome of NWAA2013 (supported by IAU), recently our department has convinced Government of Nepal to support this particular area in the year 2014.
We have decided to organize a regional workshop in order to provide an extensive learning environment to the participants of Nepal and neighboring countries. We will focus on database, data reduction and problem identification which is commonly used A&A research. Ultimately, a beginning of fruitful research collaboration is needed for the better future, in this region."
"Starlight in the university lab 2014",1,2014,"Belgium        ","This application concerns the continuation (year 2) of an previously approved project.
The project aims at fully developing and implementing a research tutorial, Astrolab, in universities in need of astronomy infrastructure and curriculum, allowing undergraduate students in sciences to perform real-time observations on a remote telescope, and transforming those observations into a scientific result.
The goal of this project is twofold :
a) to introduce students to the scientific research method in general by working scientifically through project development and preparation, data acquisition and treatment, analysis and conclusions.
b) to enhance interest in science studies by making them more attractive and getting the students involved in the “learning”.
The level is that of science students at an introductory astronomy course (1st or 2nd BSc), but can be adapted downwards as well as upwards.
Astrolab is implemented at the Vrije Universiteit Brussel since 5 years.
This project is a pilot one: it will first be developed in 2 partner universities, and after a test period of 3 years it could be implemented in various other universities."
"Sustainment of the development of astrophysics in Vietnam at the Master/PhD level in the  radio astronomy domain",1,2014,"Vietnam        ","The proposed project is to invite three foreign astronomers to spend a week in Hanoi (Vietnam) and give lectures and/or seminars on astrophysics, specifically in the field of radio astronomy. Two of these astronomers are presently thesis co-directors of two Vietnamese PhD students. The other is from China.
The audience will consist of the VATLY staff, a small astrophysics laboratory in Hanoi, and Vietnamese astrophysicists and students from other universities in Ha Noi and Sai Gon. The audience would be of 10 to 20 participants ranging from Master level to PhD. The organisation will be taken care of by the VATLY staff.
This project has two main goals:
1) to increase the knowledge and expertise of the Vietnamese radio astronomy community and to strengthen links both between themselves and with astronomers from abroad, both in the region and in Europe, in order to foster future collaborations.
2) to give the student the great opportunity to discuss face-to-face their current research in that field with experts in the field.
The ultimate goal would be to establish firm collaborative links with foreign institutions, including those in which Vietnamese students are presently working for their PhD."
"The Fourth East-African Astronomy Workshop",1,2014,"Rwanda        ","The series of workshops in Astronomy in East Africa began in 2009 during the International Year of Astronomy (IYA2009). The first workshop was held in November 2009 in Nairobi, Kenya and was supported largely by the International Astronomical Union/ Teaching for Astronomy Developement (IAU/TAD), Developing Astronomy Globally (DAG), SAAO, University of Nairobi and the International Science Programmes (ISP- Upsalla University). Most of the resource persons were largely drawn from outside the region, including USA and South Africa. The second workshop was held in February 2011 in Addis Ababa, Ethiopia, while the third workshop was held in November 2012 in Kampala, Uganda. The resource persons in both workshops were drawn from USA, IAU/OAD, SAAO, SA SKA, African VLBI network project and from the South African DST.
The fourth workshop, being organized by the East African Astronomical Society (EAAS) is scheduled in May 2014 at Kigali-Rwanda.
The purpose of these workshops is to strengthen capacity building in Astronomy and Astrophysics and Space Science in general and also provide a forum for astronomers from the region to train young and upcoming scientists. It provides an opportunity for exchange of ideas, cross border co-supervision and sharing of resources. There already exists a Bachelor’s degree programme in Astronomy and Astrophysics at the University of Nairobi, Kenya and a number of other universities in the region are in the process of curriculum development of the same. The Ethiopian Space Science Society is building two 1-m class optical telescopes at Entoto Observatory near Addis Ababa. There is also a project to transform old telecom dishes into radioastronomy antennas to make a strong VLBI African network.
None of the individual countries have enough manpower or the resources to run programmes in astronomy on their own and this calls for networking and sharing of expertise to teach and supervise students across East Africa."
"West African International Summer School for Young Astronomers 2014",1,2014,"Nigeria        ","The NASRDA Centre for Basic Space Science, University of Nigeria, Nsukka in collaboration with the Dunlap Institute at the University of Toronto, the Canadian Institute for Theoretical Astrophysics (CITA) and Institute for Science and Engineer Educators' (ISEE) at the University of California, Santa Cruz will organize an introductory summer school in astronomy for undergraduate science students in West Africa. This is the second year the summer school will be held. Currently, we are in the final planning stages for a summer school to be held October 21-25, 2013, and are seeking funds to continue the project in 2014.
Unlike similar schools, which focus just on scientific content, WAISSYA will combine lectures given by Nigerian faculty with interactive problem solving sessions and innovative, inquiry-based activities led by graduate student and postdoctoral fellow instructors from the University of Toronto. In inquiry-based teaching, students learn science concepts and skills by mimicking authentic scientific research, generally via a facilitated exploration of real data that is guided by the students’ own questions. Inquiry teaching methods have been shown by science education research to give students a deep, lasting understanding of the material covered in the school, rather than just a shallow overview, and to promote students’ scientific skills and self-identity as scientists (see references below).
We will use a practice known as “backwards design” — that is, establishing our learning goals and assessment metrics first, and then creating activities that will help students meet those goals. This means that assessment will remain a critical component throughout the activity, so that we can monitor how well our interventions work, both during and after the school."
"Astronomy Skits for Secondary School Science Education",2,2014,"United States        ","At the 2013 INSAP VIII Conference on “The Inspiration of Astronomical Phenomena,” co-authors and Co-Founders of The Human Sentience Project©, Margaret Boone Rappaport, PhD, an anthropologist, and Christopher J. Corbally, PhD, an astronomer, performed two costumed Astronomy Skits to a warm response at the Hayden Planetarium in NYC [see image at http://preview.margaretrappaport.vpweb.com/default.html?alt_id=H6DTX-92A94-4O3&ts=1377785252696]. This proposal requests €1000 to build upon that success. We propose the development of a third skit in the same Development Area of “Supernovae,” a skit entitled, “How Serendipity Leads to Theory: “The A.D. 2054 Eta Carinae Supernova.” Planned Development Areas are: (1) Supernovae, (2) the Milky Way, (3) Planets & Exoplanets, and (4) Stars Galaxies. There will be 3 Astronomy Skits in each area, totaling 12. IAU deliverables for this project include 3 Astronomy Skit Packages (two for skits already developed, including “The Appearance of a Guest Star of A.D. 1054” and “The Cassiopean Supernova of A.D. 3054, or, Good News Travels Fast,” plus the skit to be developed here. Each Astronomy Skit Package includes: (1) a script with stage directions, (2) keywords for definition before the skit, (3) suggestions for inexpensive costumes or props, (4) the science, history, and culture behind each skit (5) discussion questions for after the skit, and (6) evaluation forms for students and teachers. English and Spanish versions will be delivered, with plans to produce all 12 Astronomy Skits in Portuguese and French, as well. The English versions will be performed for a Tucson high school, and evaluated by teachers and both science and humanities students. Results of the evaluation will be important in refining skits already performed, and developing future Astronomy Skit productions, for wide distribution in a single book-length volume. Proceeds from sales will allow the Astronomy Skit project to be self-sustaining."
AstroParty,2,2014,"Bulgaria        ","Asrtoparty is held every year and its ninth edition was held in this year. The first Astroparty was held in 2005, when it was organized at regional level, but in this year its range has became wider.More and more people show interest in that party. Owing to it a lot of new Astronomy clubs are built up at regional level; the party itself rouses interest in Astronomy as a science and as a subject in school as well.
When taking part in the party students get more skills both in theory itself and in making watching experiments of space. They learn how to analize and describe such experiments. These activities are not held at schools competitions in Astronomy.
Astroparty contributes to the development of the regional and national policy of the Municipality of Dolna Mitropolia, the Pleven region and Bulgaria.It makes extra-curricular activities more attractive to students and makes the landmarks by the Danube riverside more popular in the region.
It’s included in National calendar for extracurricular activities of Minisrty of education and science for sixth year.
Organizers:
Ministry of education and science, National palace of children, Regional Centre of Ministry of Education – Pleven, Municipality of Dolna Mitropolia and Municipal center for extracurricular activities – Baykal village. Astroparty Baykal is supported by Mrs Polya Tsonovska, the municipality,s mayor.
Partners:
Sofia University- Department of astronomy, Institute of Astronomy, Bulgarian Academy of Sciences,Bulgarian Astronomical Society, Public observatory with planetarium”N.Copernicus”-Varna, Astronomical Association – Sofia;
International partners: European Association for Astronomy Education/EAAE/, Galileo Teacher Training Program/GTTP/
Work, style and methods: innovation methods, team work, workshop, hands on activities students that proved to be good in Astronomy teach their classmates beginners. A variety of practical activities and education with regard to Ecology are al"
"Conduction of astronomical activities to motivate students in Public schools of Nepal",2,2014,"Nepal        ","Despite the favorable climatic and geographical conditions, research and development of the astronomy in Nepal is very limited. Nepal has to do lots of things to aware the astronomy for its development.
To increase the astronomical awareness there should be activities in School. The school activities will aware not only to children but also to the school teachers in a practical way. If the school children are interested in astronomy they continue their study in astronomy. They conduct research and development in this field. Hence It has been believed that school education is very important to make foundation in the development of astronomy."
"eScience Cafe: Building a global science community ",2,2014,"Indonesia Uganda Kenya India Morocco Tanzania   Funded locations: Indonesia, Uganda, Kenya, India, Morocco, Tanzania. Administration: USA. Unfunded locations: Portugal, Poland, Austria, Spain, Estonia, Romania, Greece, Switzerland, Serbia, Germany.","We seek funds to provide 6 schools in developing nations the equipment necessary to participate in an eScience Cafe series created within the new Galileo Students Program (GSP – a child project of the the Galileo Teacher Training Program, GTTP). We also seek funds for evaluation. This program brings together youth astronomy groups via a website (galileostudents.org) and Google+. This global community will share in science lectures (at least 8 per year), collaborate on experiments and observing events (at least 6 per year), and participate in science-related contests (at least two per year). The 6 schools funded by this grant will receive web-conference systems and the supplies needed to participate. Our evaluation will determine the effectiveness of our programs and their ability to inspire kids to seek science content.To be effective, we are pooling resources across multiple teams. Lectures will be organized by CosmoQuest and built using Google Hangouts on Air. This kids targeted series will allow interaction with the speaker and between sites. Experiments and observations will be planned jointly by CosmoQuest, GTTP / GSP, and Astronomers without Borders (AWB), and will allow students to participate in shared experiences such as seeing equinox shadows from multiple locations. Science related contests will be organized by GTTP / GSP. The 6 sites selected to receive equipment via this grant have GTTP teacher-leaders to facilitate the formation of student groups. An additional 10 European schools are also committed to participating in this extracurricular program using their own resources. The technology used is scalable, and the program will be open to any student group that can be vouched for by a teacher, amateur astronomer, or other trustable individual. Using the evaluations from this first year, we will seek additional support for evaluation and expansion. Should funding not be available, this program can continue under volunteer leadership."
"E-Teacher Training: Taking astronomy to the Portuguese Speaking Countries community",2,2014,"Portugal Mozambique Angola East Timor Macau Cape Verde São Tomé and Príncipe India Brazil","Supporting the philosophy of Galileo Teacher Training Program (http://www.galileoteachers.org/) an active and expanding legacy of the International Year of Astronomy and a program endorsed by IAU and UNESCO, the project “E-Teacher Training: Taking astronomy to the Portuguese Speaking Countries community” plans to train teacher trainers, the Galileo Ambassadors, through online teacher training workshops in the effective use of free astronomy tools, resources and in class activities, adapted to science curricula of countries in which Portuguese is the official language or has a strong social and cultural importance.
The key framework of “E-Teacher Training: Taking astronomy to the Portuguese Speaking Countries community” is sustainability: by training teacher trainers, the program will adapt and deliver astronomy educational resources, orienting the training for its use, for an ultimate and effective delivery in classroom. By the end of the project all trainers attending the program are equipped to train other teachers in these methodologies, leveraging the work begun in the virtual workshops, continuing the legacy of this project in future: the future continuous training of other teachers on site by the new teachers trained in the program.
Through astronomy exercises and cross-disciplinary resources the workshop delivered contents are already certified by other teaching communities around the world and this program will adapt them to each country specific science curricula and reach locations scarce in resources of their own, allowing them to have access to training that otherwise couldn’t have. We will use the open course methodology and through already established partnerships have cutting edge resources for this purpose all for free. All sessions will be recorded and available for future use. With this project we hope to be taking steps in solving the fast growth of digital divide, empowering teachers on the use of user friendly tools as a first step."
"Modern Astronomy: Science/Technology Transfer in the SEA-ROAD Region",2,2014,"Thailand        ","The aim is to conduct a 2-day seminar in Chiang Mai, Thailand and on Doi Inthanon at the Thai Natiolnal Telescope to introduce about 30 senior secondary school students from the South-East Asia (SEA-ROAD) region to the ways in which astronomy can be used to enhance the socio-economic development of the region. In the process, the students will be exposed to the concepts and personal values of a co-operative and multidisciplinary vocational team effort required in achieving common scientific and engineering goals, and how these sometimes translate into innovative solutions that contribute towards socio-economic development. The students also will be exposed to the scientific methodology and engineering principles found in an observatory environment, in order to highlight possible career options and relevant tertiary training in astronomy."
"The UNAWE-UNESCO-Mobil I for Central America ",2,2014,"Guatemala El Salvador Honduras Nicaragua Costa Rica Panamá   ","The Universe Awareness programme (UNAWE) is a programme endorsed by the IAU and the UNESCO aiming to inspire young disadvantaged children and stimulate their interest in science and technology, in culture and global citizenship through astronomy. Actually there are 57 countries affiliated to UNAWE. The goal of this proposal is to bring UNAWE to five Central American countries still lacking the programme (El Salvador, Honduras, Nicaragua, Costa Rica y Panamá) and reinforce the UNAWE activities in Guatemala. Following the expansion and implementation of the UNAWE-programme in Venezuela, this will be achieved through the network of schools associated to the UNESCO in those countries. We will visit together with the national UNESCO-coordinators at least two schools per country on board of a UNAWE-UNESCO-mobil carrying the UNAWE-“Universe at the Box”, other UNAWE-materials (from Spain), self developed educational materials and telescopes. Our activities will have a duration of one week per school, and will be centered on direct activities with the children, teacher trainings (with the assistance of the UNESCO-national coordinators), and public events. After each training the teachers will receive binoculars, a small telescope and visual material (posters) to create astronomy clubs at their schools. Throughout the Moon will be the thread from which will start to explore the night sky. It will also be the object that will allow to gain insights into the multiple cultural identities, which in turn will be enriched by the exchange of ""video cards"" on the moon between children from different regions of Central America. A long lasting impact will be guaranteed by building up a UNAWE-Network within the UNESCO-schools of these countries supported by the national UNESCO-coordinators, the educational ministries, and local amateur and professional astronomers. For the whole proyect we have received already the endorsement of the UNESCO-Office for Latin America and the Caribic."
"The Universe - our home full of wonders",2,2014,"Poland        ","This project is a result of cooperation between science centre Innovation Centre Mill of Knowledge and New Space Foundation. Both parties are active on local level (Toruń, kujawsko-pomorskie region) and have been realizing projects and initiatives addressed to children, promoting astronomy and space technology. These projects were successful but on a local scale and targeted to groups of regular youngsters. However, in Poland such projects are necessary not only in cities like Toruń (circ. 200 000 residents) but mostly in small towns and villages. In these locations, children have much fewer opportunities to learn more about astronomy than the basics presented to them in schools. In most schools teachers don’t have funds, sometimes skills to conduct science projects or hands-on activities. Therefore, very early children are introduced to very strong stereotypes – science is theoretical, difficult and boring, In result, in small local communities in Poland level of science illiteracy is appallingly high, requiring quick and effective action. For this reason, both organizations decided to join forces and create join pilot project, acting on level higher that before. This project includes not only set of workshops carried out for children with fewer opportunities to introduce them to astronomy. The focal point will be implementation of set of effective, confirmed tools to teachers and caretakers, who will be able to use the results with new groups of children, long after the project is finished,. The pilot character of this initiative was included to reach short-term goals on regional level, but also include long-term result: dissemination of materials (scipts, notes, translations of UNAWE materials to Polish) to be used all over region and all over Poland."
"Accessible Citizen Science for the Developing World",3,2014,"United Kingdom        ","The Zooniverse (http://www.zooniverse.org) has excelled at producing engaging, high-quality citizen science websites that produce peer-reviewed scientific research, especially in astronomy (http://www.zooniverse.org/publications). Our teams work predominantly in the USA and UK and the majority of our 860,000-strong volunteers are situated in the Western world, mostly Western Europe, North America and Australia. Our sites rely on volunteers interacting with rich visual data in the web browser, that often requires websites that are sometimes megabytes in size. Zooniverse websites rely on users participating through modern web browsers on broadband-speed, home internet connections.
We propose to create a low-bandwidth, multi-lingual citizen science project, to be selected in 2014 from the Zooniverse’s open proposal system, based on its suitability for the goals of the project and its scientific merit. A call for projects should be made in advance, in coordination with the IAU Office of Astronomy for Development. With the Zooniverse’s high standards for research and design, the aim is to build a project that stands alongside existing sites such as Galaxy Zoo, Planet Hunters and the Milky Way Project.
The infrastructure and expertise in the Zooniverse’s growing web development team will support a developer in building a new citizen science website aimed at the developing world and optimised for low-bandwidth use. It will also act as a focal point in advancing Zooniverse efforts to provide projects in multiple languages and create connections with astronomers in developing countries.
This project will act as a pathfinder for the Zooniverse, allowing the development of new tools for the delivery of responsive websites. The techniques created in the development of this project will then be evaluated and integrated into the Zooniverse platform. This will allow the Zooniverse to deliver a better experience for more users around the world in the future."
"Communication and (social) media skills for young astronomers",3,2014,"South Africa Other African Countries       ","Following the favourable outcome of the SKA bid for Africa, there is a new focus on astronomy across the continent. This is further supported by the development of the African VLBI Network (AVN). Newly established SKA SA research chairs in South Africa are attracting postgraduate students from all over Africa, while some are already involved in post-doctoral work and early career research. Astronomy courses are also taking off in SKA partner countries across Africa.
As in other fields of science, astronomers are under pressure to sustain public and political support for their discipline. Instead of asking whether they have the time or interest to engage public and policy audiences in their word, scientists are now realising that they can no longer afford NOT do to it.
It is therefore essential to equip young astronomers with the confidence and skills to engage a wide range of audiences, from young children to senior politicians, successfully. They will play a key role in sharing the inspirational value of astronomy and the bright future of this field with the rest of the continent’s people and youth.
This proposal seeks funding for the development and delivery of a three-day course focused on the challenges and opportunities of communicating astronomy, astrophysics and related engineering fields. The course will include training on how to deliver engaging popular talks (“Famelab” style) and how to write popular articles and blogs; as well as hands-on skills on how to prepare for and conduct radio, television and print media interviews. Delegates will also learn how they can package their research for maximum media appeal and how to use a range of social media platforms to engage new audiences. They will be introduced to innovative ways of sharing science via theatre, science cafés, music, etc. Case studies and evidence from successful astronomy communicators will provide an interactive component and role models. Delegates will also learn how to integrate science"
"Coordinating Astronomy for Public Outreach in Viet Nam (Phase 2): Uniting Amateur Astronomy Clubs and Bringing Astronomy to a Broader Public",3,2014,"Vietnam        ","
The 2012 TF3 grant from IAU-OAD, in the recent years. The IAU-OAD TF3 funded project named “Coordinating Astronomy for Public Outreach in Viet Nam: Bringing Astronomy to Remote Areas” has blown the new winds to activities of Vietnamese amateur astronomy clubs: 10 outreach trips, in 08 different provinces/municipalities, are being on the way to final success, a new astronomical web portal for the all of Vietnamese astronomy enthusiasts is being carred out by the end of this year. Dozens of Vietnamese young amateur astronomers are happily joining hands to bring the space science tours to hundreds of students nationwide. The Vietnam outreach project is surely succeed with its commitments, and the project organisers are proud of being chosen by IAU-OAD, as the first beneficial country in the South East Asia region.It is the right time to make the next step, a continuous succesful extension: the phase two!
There have been about 20 astronomical clubs/societies since the dawn of Internet in Vietnam. From online forum boxes to small-sized organisations, their members experience the changes of Vietnam science. However, because of the generation gap, the knowledge disparity, the far distance, the lack of communications, the differences in operation, and other disadvantages have lead to the isolation of Vietnamese amateur astronomy. The clubs’ lives usually gone with their predecessor leaders, and do not have good planning, investment in a middle/long term vision. The idea is to maintain activities of local astronomy clubs throughout the country, and organise a national-level meeting for all/most of them to unite into one network. We will inspire new initiatives, receive real feedback, and all are expected to act under a same flag, for the best effeciency in astronomical knowledge dissemination, and in potential astronomers incubation."
"Documentary Series on Astronomy Research in India",3,2014,"India        ","Astronomy has developed from bare naked eye observations in the past to the use of the sophisticated instruments, like large telescopes, better imaging devices, satellite and space missions in the recent times. Research in the field of Astronomy requires large fraction of dedicated individuals to incorporate ideas and take the quest of understanding the universe to the next level. In the present scenario, lesser students are motivated to take up astronomy as a research option, the main reason being lack of awareness on the challenges offered in this field. The documentary series on Astronomy Research in India, aims to record and document the various aspects of research and development in the field of Astronomy, Astrophysics and Space Science in India and also highlight the facilities in terms of research laboratories, observatories and state of the art instrumentation. The documentary plans to create awareness and inspire students towards Astronomy research. It also intends to highlight the contribution of Astronomers, Astrophysicists and Space scientists in India who have contributed towards a new outlook of the Universe today. Through this project, we propose to create awareness by educating the masses specifically the student community, about the research work and facilitates provided by the premier Astronomy research institutes in the country."
"Educational telescope for each high school in Mongolia",2,2014,"Mongolia        ",NULL
"Nanotarium: The Most Inexpensive, Quality DIY Planetarium on Earth",3,2014,"Global        ","This project is to test and further develop small, inexpensive planetarium projectors, “Nanotariums,” to be made by astronomy educators and/or their students anywhere in the world. They feature educationally useful, single star field images that are projected using quality optics. They can project on any flat or curved surface at a scale useful for teaching small classes or demonstrating the night sky to small groups. Happily, they consume little power, so they can be run from a simple power adapter or even batteries.
In an age of expensive, sophisticated, high-end digital planetariums, Nanotariums project a stunning star field at a fraction of the cost. Bright, high color-temperature LEDs and the ability to easily create digital star fields for laser cutting of gobo star plates make this possible. The budgetary goal is to create a basic planetarium projector for approximately $50 US in parts.
An added bonus is that these projectors can eventually be offered as full or partial kits. The kits would include corollary information on the physics of optics and light on which the projectors depend. They can justifiably be termed a comprehensive DIY (Do It Yourself) STEM learning project, similar to those at Maker Faires.
The proof of concept for this mini-projection system was tested at Columbia College Chicago’s Summer 2013 informal ed program for high school students called Junior Research Scientists. This proposal hopes to take the projector one step further and to develop training materials and workshops for educators. These would be tested in Columbia’s community outreach programs in Chicago, at the International Planetarium Society (IPS) meeting in Beijing 2014, and, hopefully, at the IAU meeting in Hawaii, 2015."
"Training of Policy Makers in Ethiopia",3,2014,"Ethiopia          ","Astronomy is one of the best exciting subjects that can be used to teach science education and convey scientific methods for children at primary school and public as whole. In order to keep astronomy and space science program for sustainable manner, policy makers must aware and know the use of astronomy and space science and its application for sustainable socioeconomic development. ESSS has been done many jobs to raise public awareness in Ethiopia for the last eight years and the government and universities have already started the program in astronomy. The public and policy makers interest are increasing from time to time in Ethiopia. By taking this opportunity, the policy makers awareness training program is organized in such away to enhance the policy makers basic understanding and knowledge of importance of astronomy, and space science for sustainable development, to push policy makers to include astronomy and space science into national policy program , to avoid misunderstanding of astronomy and space science, to involve higher officials for the development of science and technology as main agenda in Africa, to assure the political visibility for the development of astronomy in Ethiopia."
"Yunnan Minority Regions Astronomical Popularization Footprint Map Plan",3,2014,"China        ","Yunnan Province is located in the southwest mountain area of China. It is characterized by the diversity of minorities: 25 minorities (beside the major nationality Han) such as minority Dai, Bai, Hani, Naxi, and so on. Some minorities have their own long history of language and culture development. Most of the regions are, however, quite underdeveloped in economy and science. Many minority regions have high percentage of illiteracy, low enrollment rate, and high dropout rate of school children. The amazing astronomy is an ideal tool to inspire people and their kids in those regions with the beauty of the modern science and to stimulate their interests to education.
The effectiveness of science popularization activities largely depends on its coverage in the population. Thus we propose a large-scale eight-year astronomical outreach strategy to cover all major cities in each prefecture of Yunnan province. With our proposed 'Astronomy for Development Week' events in several most populated cities of each prefecture, we will be able to illustrate our outreach coverage on an 'astronomical outreach footprint map'. We expect that, after the 8 years (2013-2020) of efforts, we will eventually be able to complete this outreach footprint map (high coverage of population) and to arouse widespread public interests in science and education in the whole Yunnan province. We also will try to update our outreach activity contents and improve effectiveness assessment methods year by year to enhance the impact to the local people.
Simultaneously, we will execute a parallel procedure within which we will compile the local astronomical culture resources such as minority calendar in or near the cities where we do outreach. Such compilation will not only help us to tailor our outreach activities to fit the interests of the local people, but enable us to share the astronomy related local minority culture with other regions or countries."
"Andean Cosmology School",1,2015,"Colombia        ","We will host a one month school on the theoretical, numerical and observational aspects of cosmology. The school will bring together 4 researchers of international expertise and 25 students from Latin-America.
The school will present current methods and research problems in cosmology. With this goal in mind it will tackle not only basic theoretical aspects, but also more advanced numerical and observational techniques. The school will have a focus on the physics of tracers of large scale structure in the Universe and their interest for cosmological application. Furthermore, we have aimed at a large duration for the school. This has the purpose of giving time to the students to create friendship ties and delve deeply into the concepts presented in the school.
In this project we seek funding to give grants to fully cover the accommodation and subsidize the costs of meals for 10 students coming from countries different than Colombia. This funding will be key to reach the goal of having a wide range of students from the continent."
"Astronomy for Africa: Student Support for Astronomy Modules via Distance Learning",1,2015,"South Africa Global       ","This is a pilot project to support students all over Africa who want to study Astronomy but where the university in their home country does not offer astronomy courses.
Most universities offer a standard BSc degree in physics, but well-taught astronomy courses are difficult to find in Africa due to the lack of a larger astronomy community. However, in the event of the SKA coming to South Africa and a few other African countries as well as the African VLBI Network (AVN) which has been initiated by the SKA- SA project office and which involves a number of African countries, it is important to offer the possibility of a degree in Astronomy to all African students. Members of the East African Astronomical Society in particular are keen to expose more students to astronomy during their university studies.
African students could obtain a bursary and go to a university abroad to study astronomy, but it would be much more cost-effective and flexible to a person's circumstances if the student could stay at a university in their home country, attend all the physics and mathematics courses required, and register for the required astronomy courses at a university that offers distance learning. The University of South Africa, UNISA, is such a university. There is a precedence case, a collaboration with the University of Free State (UFS) whereby any undergrad modules in astronomy passed through UNISA are counted as electives towards the student's BSc degree at UFS.
In other words, the students will be full students registered at a university in their home country and only register for the astronomy modules at UNISA. The university fees at UNISA are reasonably cheap for South African standards, but even these fees are often too high for other African countries. We therefore propose to support a number of students to pay for the UNISA fees for the astronomy modules which, if recognised by the host university, will count as modules towards a BSc degree."
"Guatemalan School of Astrophysics 2015",1,2015,"Guatemala        ","The GUAtemalan School of Astrophysics (GUASA) aims to bring together local Central American/Caribbean undergraduate students of physics/mathematics/engineering, with experts from prestigious astronomical institutions from around the world. During each edition, we expect to cover a wide range of modern topics of astrophysics in order to motivate the students to pursue major degrees in astronomy elsewhere. We hope that this school will contribute to create a critical mass of professional astronomers/astrophysicists in the region along with the conditions needed for research, thus leading to the creation of strong astrophysics departments in the Universities of the region. In the future, after a few editions of GUASA, we hope to be able to include lecturers from the local academic community. As a complementary activity of every edition of GUASA, we also want to organize outreach activities for the general public, such as public lectures followed by observations using small telescopes. These activities we hope, will encourage children and teenagers to get closer to science and to continue their studies aiming for superior education. Guatemala, along with many countries of the Central American/Caribbean region, lacks of a solid and well consolidated program of astronomy/astrophysics at Graduate level. The GUASA school aims to trigger the change needed to improve upon that situation. We believe that after undertaking a few editions of the GUASA school, this pattern can substantially change by training and motivating good students to enroll them in higher education programs while we campaign the local authorities in favour of the creation of new opportunities to recover their now highly trained and educated professionals."
"Introducing Data Analysis in the University System",1,2015,"Zambia South Africa       ","There is now a new paradigm in astronomy where data from large missions have become accessible to anyone with good computer hardware and access to the internet. In many ways, this has opened up frontier science to those institutions and countries who have not been in the scientific mainstream. However, there is still a significant bar to entry in that the techniques to access and analyze the data can be opaque and poorly documented.
We propose to introduce astronomical data analysis into the university curriculum with the goal of enabling students and faculty to participate in new initiatives, including the upcoming SKA partnership of which Zambia is a partner. This is particularly relevant now that the Southern African Regional Node has been established at Copperbelt University and we expect that the modules and teaching techniques developed here will be applicable to the entire region.
This will have two parts. The first is an introduction to the software and bibliographic tools, including but not limited to Aladin, Simbad, ADS and GDL, used in everyday astronomical data analysis and the second is an introduction to the available data, primarily SDSS and GALEX. The Project Lead has been involved with big data both in his personal research and in disseminating the techniques through the university system. He will spend approximately 6 months spread over two years at Copperbelt University with visits to other institutions in the Southern African region as required.
Big data has now become part of the lexicon of all fields of science and business and astronomy, especially, has been in the forefront of creating and utilizing huge multi-parameter data sets. The skills developed in handling and in interpreting these data sets are applicable to many different professions where critical thinking and a basic understanding of real-world data are important."
"Latin American School of Observational Astronomy 2015",1,2015,"Mexico        ",NULL
"National School on Astrophysical Simulation",1,2015,"Nepal        ","Because of the effective outcome of previous schools of astronomy, Government of Nepal has decided to provide regular support to the national school. The proposed school will be the third but very important step that will combine and extend both previous schools. In this school, participants (Ph.D. and masters’ thesis student) will learn the nature of simulations that has been used in the Astrophysics research in recent days. Participants will use PYTHON to write program for SIMULATION using input parameters that will be taken from database. We plan to use SDSS (Sloan Dizitized Sky Survey) DR7-DR10 database of about 20 Supercluster galaxies (Liivamagi et al. 2012, A&A 539, A80; Aryal et al. 2013, MNRAS, 434, 1939) and find expected isotropic distribution curves by performing Monte Carlo simulation for the galaxy orientation study. We intend to publish this effort. Till date, no attempts has been made to study the preferred orientation of angular momentum vectors of SDSS Supercluster galaxies. The objectives of NSAS are as follows: (1) The purpose of this school teach problem identification skill (literature review) to the M.Sc. and Ph.D. students of Nepal. (2) A method of problem solving procedure (simulation/computation) will be taught by using SDSS DR7-DR10 database of galaxies. (3) A Monte Carlo Simulation will be performed in the school to find expected isotropic distributions concerning galaxy orientation. (4) A database of 12 Superclusters (Liivamagi et al. 2012, A&A 539, A80) will be analysed in order to test nonrandom effects in the galaxy alignments. (5) The purpose of this workshop is to bring together experienced as well as young Astrophysics M.Sc. and Ph.D. students of Nepal. In this school we intend study extragalactic astrophysics concerning galaxy orientation and will interpret our simulations in the frame work of the different galaxy evolution models namely Hierarchy, Turbulence, and Pancake."
